1;How many toes does an ostrich have on each leg?;2;3;4;5
42;A trilobite is a...;An extinct arthropod;A kind of vegetable;A three-legged insect;A butterfly from Madagascar
43;"""Like a headless ...""";Chicken;Parrot;Mouse;Duck
44;A platypus is a...;Egg-laying mammal;A type of parrot;Bacteria;Fantasy animal
45;The nest of a bird of prey is known as a...;Dome;Burrow;Castle;Fortress
46;Proud as a...;Peacock;Horse;Flamingo;Goose
47;Which animal's excrement is used to make coffee?;Cat;Dog;Rabbit;Goldfish
48;Which is not a species of bird?;Stag beetle;Curlew;Reed warbler;Black-tailed godwit
49;Which species of bird is the high-flying champion?;Rüppells vulture;Indian goose;Peregrine;Black-tailed godwits
50;"""Up with the...""";Chickens;Cats;Monkeys;Dogs
51;A person suffering from alektorophobia is afraid of...;Chickens;Ducks;Crows;Insects
52;"""Then the ... came out of the sleeve.""";Monkey;Rat;Mouse;Cat
53;"""Does a ... poop in the woods?""";Bear;Dog;Wolf;Cat
54;"""Like a ... without a bone.""";Dog;Monkey;Rat;Cat
55;"Which animal's Latin name is ""Panthera Leo?""";Lion;Panther;Tiger;Cat
56;"""Do not look a gift ... in the mouth.""";Horse;Dog;Cat;Cow
57;"""To be a lame...""";Duck;Goose;Swan;Coot
58;Deaf as a ...;Quail;Parrot;Turkey;Rabbit
59;"Which animal's Latin name is ""Vulpes Vulpes?""";Fox;Bear;Wolf;Crow
60;"""The ... may crow, but the hen delivers the goods.""";Rooster;Parrot;Crow;Seagull
61;"""Why did the ... cross the road?""";Chickens;Chicks;Pigeons;Seagulls
62;"""One ... does not make a summer.""";Swallow;Polar bear;Nightingale;Blackbird
63;When the fox preaches, look to your…;Geese;Dogs;Money;House
64;A cow has four stomachs: the rumen, reticulum, abomasum and...;Omasum;Grassum;Thesum;Fakesum
65;Ants milk...;Aphids;Goats;Cows;They don't
66;Where can you find the black-footed penguin?;South Africa;Antarctica;Falkland Islands;New Zealand
67;How many known species of amphibians are there?;About 7,000;About 2,000;About 5,000;About 9,000
68;Which disease can be spread by mosquitos?;Dengue fever;Common cold;Flu;Ear infection
69;How do dolphins sleep?;The two sides of its brain take turns sleeping;On the bottom of the sea;A dolphin never sleeps;On the beach
70;"""Putting the cart before the ... .""";Horse;Donkey;Cow;Ox
71;Which animal is not an amphibian?;Crocodile;Frog;Salamander;Toad
72;"""The ... comes out of the sleeve.""";Monkey;Dog;Cat;Parrot
73;"""Fighting like ... and dogs.""";Cats;Rat;Mouse;Parakeet
74;"""When the ... is away, the mice will play.""";Cat;Rat;Dog;Parakeet
75;Which bird is not a bird of prey?;Crow;Peregrine;Eagle;Sparrowhawk
76;A person suffering from anatidaephobia is afraid of...;Ducks;Elephants;Pineapple;Spiders
77;Where does the proboscis monkey live?;Borneo;Madagascar;Malaysia;Suriname
78;""".... Business""";Monkey;Chicken;Dog;Pig
79;How do flies breathe?;Via their tracheal system;With their lungs;Via their intestinal wall;Via their auricle
80;"""... see, ... do""";Cat;Monkey;Unicorn;Bird
81;Which species of mammal can fly?;Bat;Flying fish;Duck;Platypus
82;Like a ... out of water.;Fish;Monkey;Chicken;Raccoon
83;Sly as a …;Fox;Rabbit;Wolf;Raccoon
84;Which species of bird can dive the fastest?;The Peregrine;Hawk;Buzzard;European honey buzzard
85;What is the smallest species of rhinoceros?;Sumatran rhinoceros;Javan rhinoceros;Black rhinoceros;White rhinoceros
