ID;Questions;Country;Capital;Werelddeel;Asked
172;What is the capital of;The United States;Washington D.C.;Noord- en Midden-Amerika;
173;What is the capital of;Australia;Canberra;Oceanië;
174;What is the capital of;New Zealand;Wellington;Oceanië;
175;What is the capital of;Argentina;Buenos Aires;Zuid-Amerika;
176;What is the capital of;Bolivia;La Paz;Zuid-Amerika;
177;What is the capital of;Brazil;Brasilia;Zuid-Amerika;
178;What is the capital of;Chile;Santiago;Zuid-Amerika;
179;What is the capital of;Colombia;Bogotá;Zuid-Amerika;
180;What is the capital of;Ecuador;Quito;Zuid-Amerika;
181;What is the capital of;Guyana;Georgetown;Zuid-Amerika;
182;What is the capital of;Paraguay;Asunción;Zuid-Amerika;
183;What is the capital of;Peru;Lima;Zuid-Amerika;
184;What is the capital of;Suriname;Paramaribo;Zuid-Amerika;
185;What is the capital of;Uruguay;Montevideo;Zuid-Amerika;
186;What is the capital of;Venezuela;Caracas;Zuid-Amerika;
