ID;Vragen;Antwoord_A;Afbeelding;Werelddeel;Asked
54;Dit is de vlag van...?;Zuid-Afrika;Zuid-Afrika.png;Afrika;
55;Dit is de vlag van...?;Afghanistan;Afghanistan.png;Azië;
56;Dit is de vlag van...?;Armenië;Armenie.png;Azië;
57;Dit is de vlag van...?;Australië;Australie.png;Azië;
58;Dit is de vlag van...?;Azerbeidzjan;Azerbeidzjan.png;Azië;
59;Dit is de vlag van...?;Bangladesh;Bangladesh.png;Azië;
60;Dit is de vlag van...?;Bhutan;Bhutan.png;Azië;
61;Dit is de vlag van...?;Brunei;Brunei.png;Azië;
62;Dit is de vlag van...?;Cambodja;Cambodja.png;Azië;
63;Dit is de vlag van...?;China;China.png;Azië;
64;Dit is de vlag van...?;de Filipijnen;Filipijnen.png;Azië;
65;Dit is de vlag van...?;Georgië;Georgie.png;Azië;
66;Dit is de vlag van...?;Hongkong;Hongkong.png;Azië;
67;Dit is de vlag van...?;India;India.png;Azië;
68;Dit is de vlag van...?;Indonesië;Indonesie.png;Azië;
69;Dit is de vlag van...?;Irak;Irak.png;Azië;
70;Dit is de vlag van...?;Iran;Iran.png;Azië;
71;Dit is de vlag van...?;Israël;Israel.png;Azië;
72;Dit is de vlag van...?;Japan;Japan.png;Azië;
73;Dit is de vlag van...?;Jordanië;Jordanie.png;Azië;
74;Dit is de vlag van...?;Kazachstan;Kazachstan.png;Azië;
75;Dit is de vlag van...?;Kirgizië;Kirgizie.png;Azië;
76;Dit is de vlag van...?;Koeweit;Koeweit.png;Azië;
77;Dit is de vlag van...?;Laos;Laos.png;Azië;
78;Dit is de vlag van...?;Libanon;Libanon.png;Azië;
79;Dit is de vlag van...?;Macau;Macau.png;Azië;
80;Dit is de vlag van...?;de Malediven;Maladiven.png;Azië;
81;Dit is de vlag van...?;Maleisië;Maleisie.png;Azië;
82;Dit is de vlag van...?;Mongolië;Mongolie.png;Azië;
83;Dit is de vlag van...?;Myanmar;Myanmar.png;Azië;
84;Dit is de vlag van...?;Nepal;Nepal.png;Azië;
85;Dit is de vlag van...?;Nieuw-Zeeland;Nieuw-Zeeland.png;Azië;
86;Dit is de vlag van...?;Noord-Korea;Noord-Korea.png;Azië;
87;Dit is de vlag van...?;Oman;Oman.png;Azië;
88;Dit is de vlag van...?;Oost-Timor;Oost-Timor.png;Azië;
89;Dit is de vlag van...?;Pakistan;Pakistan.png;Azië;
90;Dit is de vlag van...?;Palestina;Palestina.png;Azië;
91;Dit is de vlag van...?;Qatar;Qatar.png;Azië;
92;Dit is de vlag van...?;Rusland;Rusland.png;Azië;
93;Dit is de vlag van...?;Saoedi-Arabië;Saudi Arabie.png;Azië;
94;Dit is de vlag van...?;Singapore;Singapore.png;Azië;
95;Dit is de vlag van...?;Sri Lanka;Sri Lanka.png;Azië;
96;Dit is de vlag van...?;Syrië;Syrie.png;Azië;
97;Dit is de vlag van...?;Tadzjikistan;Tadzjikistan.png;Azië;
98;Dit is de vlag van...?;Thailand;Thailand.png;Azië;
99;Dit is de vlag van...?;Tibet;Tibet.png;Azië;
100;Dit is de vlag van...?;Turkije;Turkey.png;Azië;
101;Dit is de vlag van...?;Turkmenistan;Turkmenistan.png;Azië;
102;Dit is de vlag van...?;Oezbekistan;Uzbekistan.png;Azië;
103;Dit is de vlag van...?;de Verenigde Arabische Emiraten;Verenigde Arabische Emiraten.png;Azië;
104;Dit is de vlag van...?;Viëtnam;Vietnam.png;Azië;
105;Dit is de vlag van...?;Jemen;Yemen.png;Azië;
106;Dit is de vlag van...?;Zuid-Korea;Zuid-Korea.png;Azië;
107;Dit is de vlag van...?;Albanië;Albanie.png;Europa;
108;Dit is de vlag van...?;Andorra;Andorra.png;Europa;
109;Dit is de vlag van...?;Armenië;Armenie.png;Europa;
110;Dit is de vlag van...?;Azerbeidzjan;Azerbeidzjan.png;Europa;
111;Dit is de vlag van...?;Wit-Rusland;Belarus.png;Europa;
112;Dit is de vlag van...?;België;Belgie.png;Europa;
113;Dit is de vlag van...?;Bosnië en Herzegovina;Bosnie en Herzegovina.png;Europa;
114;Dit is de vlag van...?;Bulgarije;Bulgarie.png;Europa;
115;Dit is de vlag van...?;Cyprus;Cyprus.png;Europa;
116;Dit is de vlag van...?;Denemarken;Denemarken.png;Europa;
117;Dit is de vlag van...?;Duitsland;Duitsland.png;Europa;
118;Dit is de vlag van...?;Estland;Estland.png;Europa;
119;Dit is de vlag van...?;Finland;Finland.png;Europa;
120;Dit is de vlag van...?;Frankrijk;Frankrijk.png;Europa;
121;Dit is de vlag van...?;Georgië;Georgie.png;Europa;
122;Dit is de vlag van...?;Griekenland;Griekenland.png;Europa;
123;Dit is de vlag van...?;Hongarije;Hungarije.png;Europa;
124;Dit is de vlag van...?;IJsland;IJsland.png;Europa;
125;Dit is de vlag van...?;Ierland;Ierland.png;Europa;
126;Dit is de vlag van...?;Italië;Italie.png;Europa;
127;Dit is de vlag van...?;Kroatië;Kroatie.png;Europa;
128;Dit is de vlag van...?;Letland;Letland.png;Europa;
129;Dit is de vlag van...?;Liechtenstein;Liechtenstein.png;Europa;
130;Dit is de vlag van...?;Litouwen;Litouwen.png;Europa;
131;Dit is de vlag van...?;Luxemburg;Luxemburg.png;Europa;
132;Dit is de vlag van...?;Macedonië;Macedonia.png;Europa;
133;Dit is de vlag van...?;Malta;Malta.png;Europa;
134;Dit is de vlag van...?;Moldavië;Moldavie.png;Europa;
135;Dit is de vlag van...?;Monaco;Monaco.png;Europa;
136;Dit is de vlag van...?;Montenegro;Montenegro.png;Europa;
137;Dit is de vlag van...?;Nederland;Nederland.png;Europa;
138;Dit is de vlag van...?;Noorwegen;Noorwegen.png;Europa;
139;Dit is de vlag van...?;Oekraïne;Oekraine.png;Europa;
140;Dit is de vlag van...?;Oostenrijk;Oostenrijk.png;Europa;
141;Dit is de vlag van...?;Polen;Polen.png;Europa;
142;Dit is de vlag van...?;Portugal;Portugal.png;Europa;
143;Dit is de vlag van...?;Roemenië;Roemenie.png;Europa;
144;Dit is de vlag van...?;Rusland;Rusland.png;Europa;
145;Dit is de vlag van...?;San Marino;San Marino.png;Europa;
146;Dit is de vlag van...?;Servië;Servie.png;Europa;
147;Dit is de vlag van...?;Slovenië;Slovenie.png;Europa;
148;Dit is de vlag van...?;Slowakije;Slowakijke.png;Europa;
149;Dit is de vlag van...?;Spanje;Spanje.png;Europa;
150;Dit is de vlag van...?;Tsjechië;Tsjechie.png;Europa;
151;Dit is de vlag van...?;Turkije;Turkije.png;Europa;
152;Dit is de vlag van...?;Vaticaanstad;Vaticaanstad.png;Europa;
153;Dit is de vlag van...?;het Verenigd Koninkrijk;Verenigd Koninkrijk.png;Europa;
154;Dit is de vlag van...?;Zweden;Zweden.png;Europa;
155;Dit is de vlag van...?;Zwitserland;Zwitserland.png;Europa;
156;Dit is de vlag van...?;Belize;Belize.png;Noord- en Midden-Amerika;
157;Dit is de vlag van...?;Canada;Canada.png;Noord- en Midden-Amerika;
158;Dit is de vlag van...?;Costa Rica;Costa Rica.png;Noord- en Midden-Amerika;
159;Dit is de vlag van...?;Dominicaanse Republiek;Dominicaanse Republiek.png;Noord- en Midden-Amerika;
160;Dit is de vlag van...?;El Salvador;El Salvador.png;Noord- en Midden-Amerika;
161;Dit is de vlag van...?;Guatemala;Guatemala.png;Noord- en Midden-Amerika;
162;Dit is de vlag van...?;Haïti;Haiti.png;Noord- en Midden-Amerika;
163;Dit is de vlag van...?;Honduras;Honduras.png;Noord- en Midden-Amerika;
164;Dit is de vlag van...?;Jamaica;Jamaica.png;Noord- en Midden-Amerika;
165;Dit is de vlag van...?;Mexico;Mexico.png;Noord- en Midden-Amerika;
166;Dit is de vlag van...?;Nicaragua;Nicaragua.png;Noord- en Midden-Amerika;
167;Dit is de vlag van...?;Panama;Panama.png;Noord- en Midden-Amerika;
168;Dit is de vlag van...?;de Verenigde Staten;Verenigde Staten.png;Noord- en Midden-Amerika;
169;Dit is de vlag van...?;Argentinië;Argentinie.png;Zuid-Amerika;
170;Dit is de vlag van...?;Bolivia;Bolivia.png;Zuid-Amerika;
171;Dit is de vlag van...?;Brazilië;Brazilie.png;Zuid-Amerika;
172;Dit is de vlag van...?;Chili;Chili.png;Zuid-Amerika;
173;Dit is de vlag van...?;Colombia;Colombia.png;Zuid-Amerika;
174;Dit is de vlag van...?;Ecuador;Ecuador.png;Zuid-Amerika;
175;Dit is de vlag van...?;Guyana;Guyana.png;Zuid-Amerika;
176;Dit is de vlag van...?;Paraguay;Paraguay.png;Zuid-Amerika;
177;Dit is de vlag van...?;Peru;Peru.png;Zuid-Amerika;
178;Dit is de vlag van...?;Suriname;Suriname.png;Zuid-Amerika;
179;Dit is de vlag van...?;Trinidad en Tobago;Trinidad en Tobago.png;Zuid-Amerika;
180;Dit is de vlag van...?;Uruguay;Uruguay.png;Zuid-Amerika;
181;Dit is de vlag van...?;Venezuela;Venezuela.png;Zuid-Amerika;
