KEY,English,Dutch
02:17,17 minutes past 2,17 over 2
02:18,18 minutes past 2,18 over 2
02:19,19 minutes past 2,19 over 2
02:20,20 past 2,10 voor half 3
02:21,21 minutes past 2,9 voor half 3
02:22,22 minutes past 2,8 voor half 3
02:23,23 minutes past 2,7 voor half 3
02:24,24 minutes past 2,6 voor half 3
02:25,25 past 2,5 voor half 3
02:26,26 minutes past 2,4 voor half 3
02:27,27 minutes past 2,3 voor half 3
02:28,28 minutes past 2,2 voor half 3
02:29,29 minutes past 2,1 voor half 3
02:30,Half past 2,Half 3
02:31,29 minutes to 3,1 over half 3
02:32,28 minutes to 3,2 over half 3
02:33,27 minutes to 3,3 over half 3
02:34,26 minutes to 3,4 over half 3
02:35,25 to 3,5 over half 3
02:36,24 minutes to 3,6 over half 3
02:37,23 minutes to 3,7 over half 3
02:38,22 minutes to 3,8 over half 3
02:39,21 minutes to 3,9 over half 3
02:40,20 to 3,10 over half 3
02:41,19 minutes to 3,19 voor 3
02:42,18 minutes to 3,18 voor 3
02:43,17 minutes to 3,17 voor 3
02:44,16 minutes to 3,16 voor 3
02:45,Quarter to 3,Kwart voor 3
02:46,14 minutes to 3,14 voor 3
02:47,13 minutes to 3,13 voor 3
02:48,12 minutes to 3,12 voor 3
02:49,11 minutes to 3,11 voor 3
02:50,10 to 3,10 voor 3
02:51,9 minutes to 3,9 voor 3
02:52,8 minutes to 3,8 voor 3
02:53,7 minutes to 3,7 voor 3
02:54,6 minutes to 3,6 voor 3
02:55,5 to 3,5 voor 3
02:56,4 minutes to 3,4 voor 3
02:57,3 minutes to 3,3 voor 3
02:58,2 minutes to 3,2 voor 3
02:59,1 minute to 3,1 voor 3
03:00,3 o'clock,3 uur
03:01,1 minute past 3,1 over 3
03:02,2 minutes past 3,2 over 3
03:03,3 minutes past 3,3 over 3
03:04,4 minutes past 3,4 over 3
03:05,5 past 3,5 over 3
03:06,6 minutes past 3,6 over 3
03:07,7 minutes past 3,7 over 3
03:08,8 minutes past 3,8 over 3
03:09,9 minutes past 3,9 over 3
03:10,10 past 3,10 over 3
03:11,11 minutes past 3,11 over 3
03:12,12 minutes past 3,12 over 3
03:13,13 minutes past 3,13 over 3
03:14,14 minutes past 3,14 over 3
03:15,Quarter past 3,Kwart over 3
03:16,16 minutes past 3,16 over 3
03:17,17 minutes past 3,17 over 3
03:18,18 minutes past 3,18 over 3
03:19,19 minutes past 3,19 over 3
03:20,20 past 3,10 voor half 4
03:21,21 minutes past 3,9 voor half 4
03:22,22 minutes past 3,8 voor half 4
03:23,23 minutes past 3,7 voor half 4
03:24,24 minutes past 3,6 voor half 4
03:25,25 past 3,5 voor half 4
03:26,26 minutes past 3,4 voor half 4
03:27,27 minutes past 3,3 voor half 4
03:28,28 minutes past 3,2 voor half 4
03:29,29 minutes past 3,1 voor half 4
03:30,Half past 3,Half 4
03:31,29 minutes to 4,1 over half 4
03:32,28 minutes to 4,2 over half 4
03:33,27 minutes to 4,3 over half 4
03:34,26 minutes to 4,4 over half 4
03:35,25 to 4,5 over half 4
03:36,24 minutes to 4,6 over half 4
03:37,23 minutes to 4,7 over half 4
03:38,22 minutes to 4,8 over half 4
03:39,21 minutes to 4,9 over half 4
03:40,20 to 4,10 over half 4
03:41,19 minutes to 4,19 voor 4
03:42,18 minutes to 4,18 voor 4
03:43,17 minutes to 4,17 voor 4
03:44,16 minutes to 4,16 voor 4
03:45,Quarter to 4,Kwart voor 4
03:46,14 minutes to 4,14 voor 4
03:47,13 minutes to 4,13 voor 4
03:48,12 minutes to 4,12 voor 4
03:49,11 minutes to 4,11 voor 4
03:50,10 to 4,10 voor 4
03:51,9 minutes to 4,9 voor 4
03:52,8 minutes to 4,8 voor 4
03:53,7 minutes to 4,7 voor 4
03:54,6 minutes to 4,6 voor 4
03:55,5 to 4,5 voor 4
03:56,4 minutes to 4,4 voor 4
03:57,3 minutes to 4,3 voor 4
03:58,2 minutes to 4,2 voor 4
03:59,1 minute to 4,1 voor 4
04:00,4 o'clock,4 uur
04:01,1 minute past 4,1 over 4
04:02,2 minutes past 4,2 over 4
04:03,3 minutes past 4,3 over 4
04:04,4 minutes past 4,4 over 4
04:05,5 past 4,5 over 4
04:06,6 minutes past 4,6 over 4
04:07,7 minutes past 4,7 over 4
04:08,8 minutes past 4,8 over 4
04:09,9 minutes past 4,9 over 4
04:10,10 past 4,10 over 4
04:11,11 minutes past 4,11 over 4
04:12,12 minutes past 4,12 over 4
04:13,13 minutes past 4,13 over 4
04:14,14 minutes past 4,14 over 4
04:15,Quarter past 4,Kwart over 4
04:16,16 minutes past 4,16 over 4
04:17,17 minutes past 4,17 over 4
04:18,18 minutes past 4,18 over 4
04:19,19 minutes past 4,19 over 4
04:20,20 past 4,10 voor half 5
04:21,21 minutes past 4,9 voor half 5
04:22,22 minutes past 4,8 voor half 5
04:23,23 minutes past 4,7 voor half 5
04:24,24 minutes past 4,6 voor half 5
04:25,25 past 4,5 voor half 5
04:26,26 minutes past 4,4 voor half 5
04:27,27 minutes past 4,3 voor half 5
04:28,28 minutes past 4,2 voor half 5
04:29,29 minutes past 4,1 voor half 5
04:30,Half past 4,Half 5
04:31,29 minutes to 5,1 over half 5
04:32,28 minutes to 5,2 over half 5
04:33,27 minutes to 5,3 over half 5
04:34,26 minutes to 5,4 over half 5
04:35,25 to 5,5 over half 5
04:36,24 minutes to 5,6 over half 5
04:37,23 minutes to 5,7 over half 5
04:38,22 minutes to 5,8 over half 5
04:39,21 minutes to 5,9 over half 5
04:40,20 to 5,10 over half 5
04:41,19 minutes to 5,19 voor 5
04:42,18 minutes to 5,18 voor 5
04:43,17 minutes to 5,17 voor 5
04:44,16 minutes to 5,16 voor 5
04:45,Quarter to 5,Kwart voor 5
04:46,14 minutes to 5,14 voor 5
04:47,13 minutes to 5,13 voor 5
04:48,12 minutes to 5,12 voor 5
04:49,11 minutes to 5,11 voor 5
04:50,10 to 5,10 voor 5
04:51,9 minutes to 5,9 voor 5
04:52,8 minutes to 5,8 voor 5
04:53,7 minutes to 5,7 voor 5
04:54,6 minutes to 5,6 voor 5
04:55,5 to 5,5 voor 5
04:56,4 minutes to 5,4 voor 5
04:57,3 minutes to 5,3 voor 5
04:58,2 minutes to 5,2 voor 5
04:59,1 minute to 5,1 voor 5
05:00,5 o'clock,5 uur
05:01,1 minute past 5,1 over 5
05:02,2 minutes past 5,2 over 5
05:03,3 minutes past 5,3 over 5
05:04,4 minutes past 5,4 over 5
05:05,5 past 5,5 over 5
05:06,6 minutes past 5,6 over 5
05:07,7 minutes past 5,7 over 5
05:08,8 minutes past 5,8 over 5
05:09,9 minutes past 5,9 over 5
05:10,10 past 5,10 over 5
05:11,11 minutes past 5,11 over 5
05:12,12 minutes past 5,12 over 5
05:13,13 minutes past 5,13 over 5
05:14,14 minutes past 5,14 over 5
05:15,Quarter past 5,Kwart over 5
05:16,16 minutes past 5,16 over 5
05:17,17 minutes past 5,17 over 5
05:18,18 minutes past 5,18 over 5
05:19,19 minutes past 5,19 over 5
05:20,20 past 5,10 voor half 6
05:21,21 minutes past 5,9 voor half 6
05:22,22 minutes past 5,8 voor half 6
05:23,23 minutes past 5,7 voor half 6
05:24,24 minutes past 5,6 voor half 6
05:25,25 past 5,5 voor half 6
05:26,26 minutes past 5,4 voor half 6
05:27,27 minutes past 5,3 voor half 6
05:28,28 minutes past 5,2 voor half 6
05:29,29 minutes past 5,1 voor half 6
05:30,Half past 5,Half 6
05:31,29 minutes to 6,1 over half 6
05:32,28 minutes to 6,2 over half 6
05:33,27 minutes to 6,3 over half 6
05:34,26 minutes to 6,4 over half 6
05:35,25 to 6,5 over half 6
05:36,24 minutes to 6,6 over half 6
05:37,23 minutes to 6,7 over half 6
05:38,22 minutes to 6,8 over half 6
05:39,21 minutes to 6,9 over half 6
05:40,20 to 6,10 over half 6
05:41,19 minutes to 6,19 voor 6
05:42,18 minutes to 6,18 voor 6
05:43,17 minutes to 6,17 voor 6
05:44,16 minutes to 6,16 voor 6
05:45,Quarter to 6,Kwart voor 6
05:46,14 minutes to 6,14 voor 6
05:47,13 minutes to 6,13 voor 6
05:48,12 minutes to 6,12 voor 6
05:49,11 minutes to 6,11 voor 6
05:50,10 to 6,10 voor 6
05:51,9 minutes to 6,9 voor 6
05:52,8 minutes to 6,8 voor 6
05:53,7 minutes to 6,7 voor 6
05:54,6 minutes to 6,6 voor 6
05:55,5 to 6,5 voor 6
05:56,4 minutes to 6,4 voor 6
05:57,3 minutes to 6,3 voor 6
05:58,2 minutes to 6,2 voor 6
05:59,1 minute to 6,1 voor 6
06:00,6 o'clock,6 uur
06:01,1 minute past 6,1 over 6
06:02,2 minutes past 6,2 over 6
06:03,3 minutes past 6,3 over 6
06:04,4 minutes past 6,4 over 6
06:05,5 past 6,5 over 6
06:06,6 minutes past 6,6 over 6
06:07,7 minutes past 6,7 over 6
06:08,8 minutes past 6,8 over 6
06:09,9 minutes past 6,9 over 6
06:10,10 past 6,10 over 6
06:11,11 minutes past 6,11 over 6
06:12,12 minutes past 6,12 over 6
06:13,13 minutes past 6,13 over 6
06:14,14 minutes past 6,14 over 6
06:15,Quarter past 6,Kwart over 6
06:16,16 minutes past 6,16 over 6
06:17,17 minutes past 6,17 over 6
06:18,18 minutes past 6,18 over 6
06:19,19 minutes past 6,19 over 6
06:20,20 past 6,10 voor half 7
06:21,21 minutes past 6,9 voor half 7
06:22,22 minutes past 6,8 voor half 7
06:23,23 minutes past 6,7 voor half 7
06:24,24 minutes past 6,6 voor half 7
06:25,25 past 6,5 voor half 7
06:26,26 minutes past 6,4 voor half 7
06:27,27 minutes past 6,3 voor half 7
06:28,28 minutes past 6,2 voor half 7
06:29,29 minutes past 6,1 voor half 7
06:30,Half past 6,Half 7
06:31,29 minutes to 7,1 over half 7
06:32,28 minutes to 7,2 over half 7
06:33,27 minutes to 7,3 over half 7
06:34,26 minutes to 7,4 over half 7
06:35,25 to 7,5 over half 7
06:36,24 minutes to 7,6 over half 7
06:37,23 minutes to 7,7 over half 7
06:38,22 minutes to 7,8 over half 7
06:39,21 minutes to 7,9 over half 7
06:40,20 to 7,10 over half 7
06:41,19 minutes to 7,19 voor 7
06:42,18 minutes to 7,18 voor 7
06:43,17 minutes to 7,17 voor 7
06:44,16 minutes to 7,16 voor 7
06:45,Quarter to 7,Kwart voor 7
06:46,14 minutes to 7,14 voor 7
06:47,13 minutes to 7,13 voor 7
06:48,12 minutes to 7,12 voor 7
06:49,11 minutes to 7,11 voor 7
06:50,10 to 7,10 voor 7
06:51,9 minutes to 7,9 voor 7
06:52,8 minutes to 7,8 voor 7
06:53,7 minutes to 7,7 voor 7
06:54,6 minutes to 7,6 voor 7
06:55,5 to 7,5 voor 7
06:56,4 minutes to 7,4 voor 7
06:57,3 minutes to 7,3 voor 7
06:58,2 minutes to 7,2 voor 7
06:59,1 minute to 7,1 voor 7
07:00,7 o'clock,7 uur
07:01,1 minute past 7,1 over 7
07:02,2 minutes past 7,2 over 7
07:03,3 minutes past 7,3 over 7
07:04,4 minutes past 7,4 over 7
07:05,5 past 7,5 over 7
07:06,6 minutes past 7,6 over 7
07:07,7 minutes past 7,7 over 7
07:08,8 minutes past 7,8 over 7
07:09,9 minutes past 7,9 over 7
07:10,10 past 7,10 over 7
07:11,11 minutes past 7,11 over 7
07:12,12 minutes past 7,12 over 7
07:13,13 minutes past 7,13 over 7
07:14,14 minutes past 7,14 over 7
07:15,Quarter past 7,Kwart over 7
07:16,16 minutes past 7,16 over 7
07:17,17 minutes past 7,17 over 7
07:18,18 minutes past 7,18 over 7
07:19,19 minutes past 7,19 over 7
07:20,20 past 7,10 voor half 8
07:21,21 minutes past 7,9 voor half 8
07:22,22 minutes past 7,8 voor half 8
07:23,23 minutes past 7,7 voor half 8
07:24,24 minutes past 7,6 voor half 8
07:25,25 past 7,5 voor half 8
07:26,26 minutes past 7,4 voor half 8
07:27,27 minutes past 7,3 voor half 8
07:28,28 minutes past 7,2 voor half 8
07:29,29 minutes past 7,1 voor half 8
07:30,Half past 7,Half 8
07:31,29 minutes to 8,1 over half 8
07:32,28 minutes to 8,2 over half 8
07:33,27 minutes to 8,3 over half 8
07:34,26 minutes to 8,4 over half 8
07:35,25 to 8,5 over half 8
07:36,24 minutes to 8,6 over half 8
07:37,23 minutes to 8,7 over half 8
07:38,22 minutes to 8,8 over half 8
07:39,21 minutes to 8,9 over half 8
07:40,20 to 8,10 over half 8
07:41,19 minutes to 8,19 voor 8
07:42,18 minutes to 8,18 voor 8
07:43,17 minutes to 8,17 voor 8
07:44,16 minutes to 8,16 voor 8
07:45,Quarter to 8,Kwart voor 8
07:46,14 minutes to 8,14 voor 8
07:47,13 minutes to 8,13 voor 8
07:48,12 minutes to 8,12 voor 8
07:49,11 minutes to 8,11 voor 8
07:50,10 to 8,10 voor 8
07:51,9 minutes to 8,9 voor 8
07:52,8 minutes to 8,8 voor 8
07:53,7 minutes to 8,7 voor 8
07:54,6 minutes to 8,6 voor 8
07:55,5 to 8,5 voor 8
07:56,4 minutes to 8,4 voor 8
07:57,3 minutes to 8,3 voor 8
07:58,2 minutes to 8,2 voor 8
07:59,1 minute to 8,1 voor 8
08:00,8 o'clock,8 uur
08:01,1 minute past 8,1 over 8
08:02,2 minutes past 8,2 over 8
08:03,3 minutes past 8,3 over 8
08:04,4 minutes past 8,4 over 8
08:05,5 past 8,5 over 8
08:06,6 minutes past 8,6 over 8
08:07,7 minutes past 8,7 over 8
08:08,8 minutes past 8,8 over 8
08:09,9 minutes past 8,9 over 8
08:10,10 past 8,10 over 8
08:11,11 minutes past 8,11 over 8
08:12,12 minutes past 8,12 over 8
08:13,13 minutes past 8,13 over 8
08:14,14 minutes past 8,14 over 8
08:15,Quarter past 8,Kwart over 8
08:16,16 minutes past 8,16 over 8
08:17,17 minutes past 8,17 over 8
08:18,18 minutes past 8,18 over 8
08:19,19 minutes past 8,19 over 8
08:20,20 past 8,10 voor half 9
08:21,21 minutes past 8,9 voor half 9
08:22,22 minutes past 8,8 voor half 9
08:23,23 minutes past 8,7 voor half 9
08:24,24 minutes past 8,6 voor half 9
08:25,25 past 8,5 voor half 9
08:26,26 minutes past 8,4 voor half 9
08:27,27 minutes past 8,3 voor half 9
08:28,28 minutes past 8,2 voor half 9
08:29,29 minutes past 8,1 voor half 9
08:30,Half past 8,Half 9
08:31,29 minutes to 9,1 over half 9
08:32,28 minutes to 9,2 over half 9
08:33,27 minutes to 9,3 over half 9
08:34,26 minutes to 9,4 over half 9
08:35,25 to 9,5 over half 9
08:36,24 minutes to 9,6 over half 9
08:37,23 minutes to 9,7 over half 9
08:38,22 minutes to 9,8 over half 9
08:39,21 minutes to 9,9 over half 9
08:40,20 to 9,10 over half 9
08:41,19 minutes to 9,19 voor 9
08:42,18 minutes to 9,18 voor 9
08:43,17 minutes to 9,17 voor 9
08:44,16 minutes to 9,16 voor 9
08:45,Quarter to 9,Kwart voor 9
08:46,14 minutes to 9,14 voor 9
08:47,13 minutes to 9,13 voor 9
08:48,12 minutes to 9,12 voor 9
08:49,11 minutes to 9,11 voor 9
08:50,10 to 9,10 voor 9
08:51,9 minutes to 9,9 voor 9
08:52,8 minutes to 9,8 voor 9
08:53,7 minutes to 9,7 voor 9
08:54,6 minutes to 9,6 voor 9
08:55,5 to 9,5 voor 9
08:56,4 minutes to 9,4 voor 9
08:57,3 minutes to 9,3 voor 9
08:58,2 minutes to 9,2 voor 9
08:59,1 minute to 9,1 voor 9
09:00,9 o'clock,9 uur
09:01,1 minute past 9,1 over 9
09:02,2 minutes past 9,2 over 9
09:03,3 minutes past 9,3 over 9
09:04,4 minutes past 9,4 over 9
09:05,5 past 9,5 over 9
09:06,6 minutes past 9,6 over 9
09:07,7 minutes past 9,7 over 9
09:08,8 minutes past 9,8 over 9
09:09,9 minutes past 9,9 over 9
09:10,10 past 9,10 over 9
09:11,11 minutes past 9,11 over 9
09:12,12 minutes past 9,12 over 9
09:13,13 minutes past 9,13 over 9
09:14,14 minutes past 9,14 over 9
09:15,Quarter past 9,Kwart over 9
09:16,16 minutes past 9,16 over 9
09:17,17 minutes past 9,17 over 9
09:18,18 minutes past 9,18 over 9
09:19,19 minutes past 9,19 over 9
09:20,20 past 9,10 voor half 10
09:21,21 minutes past 9,9 voor half 10
09:22,22 minutes past 9,8 voor half 10
09:23,23 minutes past 9,7 voor half 10
09:24,24 minutes past 9,6 voor half 10
09:25,25 past 9,5 voor half 10
09:26,26 minutes past 9,4 voor half 10
09:27,27 minutes past 9,3 voor half 10
09:28,28 minutes past 9,2 voor half 10
09:29,29 minutes past 9,1 voor half 10
09:30,Half past 9,Half 10
09:31,29 minutes to 10,1 over half 10
09:32,28 minutes to 10,2 over half 10
09:33,27 minutes to 10,3 over half 10
09:34,26 minutes to 10,4 over half 10
09:35,25 to 10,5 over half 10
09:36,24 minutes to 10,6 over half 10
09:37,23 minutes to 10,7 over half 10
09:38,22 minutes to 10,8 over half 10
09:39,21 minutes to 10,9 over half 10
09:40,20 to 10,10 over half 10
09:41,19 minutes to 10,19 voor 10
09:42,18 minutes to 10,18 voor 10
09:43,17 minutes to 10,17 voor 10
09:44,16 minutes to 10,16 voor 10
09:45,Quarter to 10,Kwart voor 10
09:46,14 minutes to 10,14 voor 10
09:47,13 minutes to 10,13 voor 10
09:48,12 minutes to 10,12 voor 10
09:49,11 minutes to 10,11 voor 10
09:50,10 to 10,10 voor 10
09:51,9 minutes to 10,9 voor 10
09:52,8 minutes to 10,8 voor 10
09:53,7 minutes to 10,7 voor 10
09:54,6 minutes to 10,6 voor 10
09:55,5 to 10,5 voor 10
09:56,4 minutes to 10,4 voor 10
09:57,3 minutes to 10,3 voor 10
09:58,2 minutes to 10,2 voor 10
09:59,1 minute to 10,1 voor 10
10:00,10 o'clock,10 uur
10:01,1 minute past 10,1 over 10
10:02,2 minutes past 10,2 over 10
10:03,3 minutes past 10,3 over 10
10:04,4 minutes past 10,4 over 10
10:05,5 past 10,5 over 10
10:06,6 minutes past 10,6 over 10
10:07,7 minutes past 10,7 over 10
10:08,8 minutes past 10,8 over 10
10:09,9 minutes past 10,9 over 10
10:10,10 past 10,10 over 10
10:11,11 minutes past 10,11 over 10
10:12,12 minutes past 10,12 over 10
10:13,13 minutes past 10,13 over 10
10:14,14 minutes past 10,14 over 10
10:15,Quarter past 10,Kwart over 10
10:16,16 minutes past 10,16 over 10
10:17,17 minutes past 10,17 over 10
10:18,18 minutes past 10,18 over 10
10:19,19 minutes past 10,19 over 10
10:20,20 past 10,10 voor half 11
10:21,21 minutes past 10,9 voor half 11
10:22,22 minutes past 10,8 voor half 11
10:23,23 minutes past 10,7 voor half 11
10:24,24 minutes past 10,6 voor half 11
10:25,25 past 10,5 voor half 11
10:26,26 minutes past 10,4 voor half 11
10:27,27 minutes past 10,3 voor half 11
10:28,28 minutes past 10,2 voor half 11
10:29,29 minutes past 10,1 voor half 11
10:30,Half past 10,Half 11
10:31,29 minutes to 11,1 over half 11
10:32,28 minutes to 11,2 over half 11
10:33,27 minutes to 11,3 over half 11
10:34,26 minutes to 11,4 over half 11
10:35,25 to 11,5 over half 11
10:36,24 minutes to 11,6 over half 11
10:37,23 minutes to 11,7 over half 11
10:38,22 minutes to 11,8 over half 11
10:39,21 minutes to 11,9 over half 11
10:40,20 to 11,10 over half 11
10:41,19 minutes to 11,19 voor 11
10:42,18 minutes to 11,18 voor 11
10:43,17 minutes to 11,17 voor 11
10:44,16 minutes to 11,16 voor 11
10:45,Quarter to 11,Kwart voor 11
10:46,14 minutes to 11,14 voor 11
10:47,13 minutes to 11,13 voor 11
10:48,12 minutes to 11,12 voor 11
10:49,11 minutes to 11,11 voor 11
10:50,10 to 11,10 voor 11
10:51,9 minutes to 11,9 voor 11
10:52,8 minutes to 11,8 voor 11
10:53,7 minutes to 11,7 voor 11
10:54,6 minutes to 11,6 voor 11
10:55,5 to 11,5 voor 11
10:56,4 minutes to 11,4 voor 11
10:57,3 minutes to 11,3 voor 11
10:58,2 minutes to 11,2 voor 11
10:59,1 minute to 11,1 voor 11
11:00,11 o'clock,11 uur
11:01,1 minute past 11,1 over 11
11:02,2 minutes past 11,2 over 11
11:03,3 minutes past 11,3 over 11
11:04,4 minutes past 11,4 over 11
11:05,5 past 11,5 over 11
11:06,6 minutes past 11,6 over 11
11:07,7 minutes past 11,7 over 11
11:08,8 minutes past 11,8 over 11
11:09,9 minutes past 11,9 over 11
11:10,10 past 11,10 over 11
11:11,11 minutes past 11,11 over 11
11:12,12 minutes past 11,12 over 11
11:13,13 minutes past 11,13 over 11
11:14,14 minutes past 11,14 over 11
11:15,Quarter past 11,Kwart over 11
11:16,16 minutes past 11,16 over 11
11:17,17 minutes past 11,17 over 11
11:18,18 minutes past 11,18 over 11
11:19,19 minutes past 11,19 over 11
11:20,20 past 11,10 voor half 12
11:21,21 minutes past 11,9 voor half 12
11:22,22 minutes past 11,8 voor half 12
11:23,23 minutes past 11,7 voor half 12
11:24,24 minutes past 11,6 voor half 12
11:25,25 past 11,5 voor half 12
11:26,26 minutes past 11,4 voor half 12
11:27,27 minutes past 11,3 voor half 12
11:28,28 minutes past 11,2 voor half 12
11:29,29 minutes past 11,1 voor half 12
11:30,Half past 11,Half 12
11:31,29 minutes to 12,1 over half 12
11:32,28 minutes to 12,2 over half 12
11:33,27 minutes to 12,3 over half 12
11:34,26 minutes to 12,4 over half 12
11:35,25 to 12,5 over half 12
11:36,24 minutes to 12,6 over half 12
11:37,23 minutes to 12,7 over half 12
11:38,22 minutes to 12,8 over half 12
11:39,21 minutes to 12,9 over half 12
11:40,20 to 12,10 over half 12
11:41,19 minutes to 12,19 voor 12
11:42,18 minutes to 12,18 voor 12
11:43,17 minutes to 12,17 voor 12
11:44,16 minutes to 12,16 voor 12
11:45,Quarter to 12,Kwart voor 12
11:46,14 minutes to 12,14 voor 12
11:47,13 minutes to 12,13 voor 12
11:48,12 minutes to 12,12 voor 12
11:49,11 minutes to 12,11 voor 12
11:50,10 to 12,10 voor 12
11:51,9 minutes to 12,9 voor 12
11:52,8 minutes to 12,8 voor 12
11:53,7 minutes to 12,7 voor 12
11:54,6 minutes to 12,6 voor 12
11:55,5 to 12,5 voor 12
11:56,4 minutes to 12,4 voor 12
11:57,3 minutes to 12,3 voor 12
11:58,2 minutes to 12,2 voor 12
11:59,1 minute to 12,1 voor 12
12:00,12 o'clock,12 uur
12:01,1 minute past 12,1 over 12
12:02,2 minutes past 12,2 over 12
12:03,3 minutes past 12,3 over 12
12:04,4 minutes past 12,4 over 12
12:05,5 past 12,5 over 12
12:06,6 minutes past 12,6 over 12
12:07,7 minutes past 12,7 over 12
12:08,8 minutes past 12,8 over 12
12:09,9 minutes past 12,9 over 12
12:10,10 past 12,10 over 12
12:11,11 minutes past 12,11 over 12
12:12,12 minutes past 12,12 over 12
12:13,13 minutes past 12,13 over 12
12:14,14 minutes past 12,14 over 12
12:15,Quarter past 12,Kwart over 12
12:16,16 minutes past 12,16 over 12
12:17,17 minutes past 12,17 over 12
12:18,18 minutes past 12,18 over 12
12:19,19 minutes past 12,19 over 12
12:20,20 past 12,10 voor half 1
12:21,21 minutes past 12,9 voor half 1
12:22,22 minutes past 12,8 voor half 1
12:23,23 minutes past 12,7 voor half 1
12:24,24 minutes past 12,6 voor half 1
12:25,25 past 12,5 voor half 1
12:26,26 minutes past 12,4 voor half 1
12:27,27 minutes past 12,3 voor half 1
12:28,28 minutes past 12,2 voor half 1
12:29,29 minutes past 12,1 voor half 1
12:30,Half past 12,Half 1
12:31,29 minutes to 1,1 over half 1
12:32,28 minutes to 1,2 over half 1
12:33,27 minutes to 1,3 over half 1
12:34,26 minutes to 1,4 over half 1
12:35,25 to 1,5 over half 1
12:36,24 minutes to 1,6 over half 1
12:37,23 minutes to 1,7 over half 1
12:38,22 minutes to 1,8 over half 1
12:39,21 minutes to 1,9 over half 1
12:40,20 to 1,10 over half 1
12:41,19 minutes to 1,19 voor 1
12:42,18 minutes to 1,18 voor 1
12:43,17 minutes to 1,17 voor 1
12:44,16 minutes to 1,16 voor 1
12:45,Quarter to 1,Kwart voor 1
12:46,14 minutes to 1,14 voor 1
12:47,13 minutes to 1,13 voor 1
12:48,12 minutes to 1,12 voor 1
12:49,11 minutes to 1,11 voor 1
12:50,10 to 1,10 voor 1
12:51,9 minutes to 1,9 voor 1
12:52,8 minutes to 1,8 voor 1
12:53,7 minutes to 1,7 voor 1
12:54,6 minutes to 1,6 voor 1
12:55,5 to 1,5 voor 1
12:56,4 minutes to 1,4 voor 1
12:57,3 minutes to 1,3 voor 1
12:58,2 minutes to 1,2 voor 1
12:59,1 minute to 1,1 voor 1
