KEY,English,Dutch
ACH_DESCRIPTION_016,Purchase {0} different items in the Fashion Store.,Koop {0} verschillende kledingstukken in de B-Cool modewinkel.
ACH_DESCRIPTION_017,Have {0} friends.,Voeg {0} vrienden toe.
ACH_DESCRIPTION_018,Have {0} friends.,Voeg {0} vrienden toe.
ACH_DESCRIPTION_019,Accept {0} challenges to a game.,Ga {0} uitdagingen aan.
ACH_DESCRIPTION_020,Accept {0} challenges to a game.,Ga {0} uitdagingen aan.
ACH_DESCRIPTION_021,Win {0} challenges to a game.,Win {0} uitdagingen.
ACH_DESCRIPTION_022,Win {0} challenges to a game.,Win {0} uitdagingen.
ACH_DESCRIPTION_023,Complete your first job.,Rond je eerste baantje af.
ACH_DESCRIPTION_024,Complete {0} jobs.,Rond {0} baantjes af.
ACH_DESCRIPTION_025,Complete all levels of Assembly Line.,Speel alle levels van Robotbouwer uit.
ACH_DESCRIPTION_026,Complete all levels of Fruityard.,Speel alle levels van Fruitplukker uit.
ACH_DESCRIPTION_027,Complete all levels of Train Manager.,Speel alle levels van Perronchef uit.
ACH_DESCRIPTION_028,Complete all levels of Cratemess.,Speel alle levels van Dozenduwer uit.
ACH_DESCRIPTION_029,Earn a total of {0} Duck Coins.,Verdien {0} Duckse Duiten.
ACH_DESCRIPTION_030,Earn a total of {0} Duck Coins.,Verdien {0} Duckse Duiten.
ACH_DESCRIPTION_031,Earn a total of {0} Duck Coins.,Verdien {0} Duckse Duiten.
ACH_DESCRIPTION_032,Complete all levels of Crane Operator.,Speel alle levels van Grote grijper uit.
ACH_DESCRIPTION_033,Complete all levels of Chase The Boat.,Speel alle levels van Verenjacht uit.
ACH_DESCRIPTION_034,Complete all levels of Chase The Boat in a row without losing any hearts.,Speel alle levels van Verenjacht achter elkaar uit zonder hartjes te verliezen.
ACH_DESCRIPTION_035,Collect all feathers in all levels of Chase The Boat in a row.,Verzamel alle veertjes in alle levels van Verenjacht (achter elkaar).
ACH_DESCRIPTION_036,Complete all levels of Chase The Truck.,Speel alle levels van Havenhopper uit.
ACH_DESCRIPTION_037,Complete all levels of Chase The Truck in a row without losing any hearts.,Speel alle levels van Havenhopper achter elkaar uit zonder hartjes te verliezen.
ACH_DESCRIPTION_038,Collect all feathers in all levels of Chase The Truck in a row.,Verzamel alle veertjes in alle levels van Havenhopper (achter elkaar).
ACH_DESCRIPTION_039,Complete all levels of Push The Crate.,Speel alle levels van Kistencrisis uit.
ACH_DESCRIPTION_040,Complete all levels of Zoo Transport.,Speel alle levels van Wilde weg uit.
ACH_DESCRIPTION_041,Complete all levels of Zoo Transport in a row without losing any hearts.,Speel alle levels van Wilde weg achter elkaar uit zonder hartjes te verliezen.
ACH_DESCRIPTION_042,Complete Adventure Chapter 1.,Speel alle games van hoofdstuk 1 van het avontuur uit.
ACH_DESCRIPTION_043,Complete all levels of Connect The Pipes.,Speel alle levels van Buizenbende uit.
ACH_DESCRIPTION_044,Complete all levels of Beat The Beagle Boys.,Speel alle levels van Hekkensluiter uit.
ACH_DESCRIPTION_045,Complete all levels of Bat Cave.,Speel alle levels van Vleermuis-gespuis uit.
ACH_DESCRIPTION_046,Complete all levels of Jump The Croc.,Speel alle levels van Cijfervijver uit.
ACH_DESCRIPTION_047,Complete all levels of Monkey Battle.,Speel alle levels van Bananenbende uit.
ACH_DESCRIPTION_048,Complete Adventure Chapter 2.,Speel alle games van hoofdstuk 2 van het avontuur uit.
ACH_DESCRIPTION_049,Complete all levels of Time Trial.,Speel alle levels van Tijdrace uit.
ACH_DESCRIPTION_050,Complete all levels of Duck Quiz.,Speel alle levels van Duckquiz uit.
ACH_DESCRIPTION_051,Complete all levels of all Adventure Games (chapters 1 AND 2).,Speel alle levels van de avonturen games uit (hoofdstuk 1 EN 2).
ACH_NAME_001,NEW FRIENDS,NIEUWE VRIENDEN
ACH_NAME_002,DUCKBURG FAMILY,DUCKSTADFAMILIE
ACH_NAME_003,WELCOME BACK!,WELKOM TERUG!
ACH_NAME_004,DUCKBURG CITIZEN,DUCKSTADBURGER
ACH_NAME_005,DIVING CHAMP,SUPERDUIKER
ACH_NAME_006,MATH WIZARD,REKENWONDER
ACH_NAME_007,WRITER,SCHRIJFTALENT
ACH_NAME_008,COSMOPOLITAN,WERELDBURGER
ACH_NAME_009,DRIVER,RACER
ACH_NAME_010,SUPER DRIVER,SUPERRACER
ACH_NAME_011,MASTER DRIVER,RACEMEESTER
ACH_NAME_012,KART MECHANIC,ZEEPKISTMONTEUR
ACH_NAME_013,KART COLLECTOR,ZEEPKISTVERZAMELAAR
ACH_NAME_014,LOOKIN' GOOD,KNAPPERD
ACH_NAME_015,FASHIONISTA,FASHIONISTA
ACH_NAME_016,MASTER OF DISGUISE,VERKLEEDMEESTER
ACH_NAME_017,FRIENDLY NEIGHBOUR,GOEDE BUUR
ACH_NAME_018,PARTY ANIMAL,FEESTBEEST
ACH_NAME_019,GOOD SPORT,SPORTIEF
ACH_NAME_020,TRUE SPORT,SUPERSPORTIEF
ACH_NAME_021,MATCH WINNER,DUELIST
ACH_NAME_022,SUPER MATCH WINNER,SUPERDUELIST
ACH_NAME_023,"WORK, WORK!","WERK, WERK!"
ACH_NAME_024,PROFESSIONAL,PROFESSIONAL
ACH_NAME_025,ROBOT BUILDER,ROBOTBOUWER
ACH_NAME_026,FARM HERO,BOERDERIJHELD
ACH_NAME_027,TRAIN MANAGER,TREINMEESTER
ACH_NAME_028,TOY MAKER,SPEELGOEDMAKER
ACH_NAME_029,PIGGY BANK,SPAARVARKEN
ACH_NAME_030,"RICH, RICH, RICH!","RIJK, RIJK, RIJK!"
ACH_NAME_031,SCROOGE MCDUCK,DAGOBERT DUCK
ACH_NAME_032,CRANE DRIVER,KRAANMACHINST
ACH_NAME_033,DOCK JUMPER,HAVENHOPPER
ACH_NAME_034,ALLEY CAT,STRAATKAT
ACH_NAME_035,FEATHER FINDER,VEERTJESVINDER
ACH_NAME_036,DOCK RUNNER,HAVENRENNER
ACH_NAME_037,THE PERFECT RUN,SUPERSPRINTER
ACH_NAME_038,FEATHER GRABBER,VEERTJESPAKKER
ACH_NAME_039,WAREHOUSE WORKER,DOZENSCHUIVER
ACH_NAME_040,TRUCK DRIVER,VRACHTRIJDER
ACH_NAME_041,BALANCING ACT,IN BALANS
ACH_NAME_042,TROUBLE AT THE DOCKS,HEIBEL IN DE HAVEN
ACH_NAME_043,PLUMBING BOSS,BUISBAAS
ACH_NAME_044,SECURITY GUARD,NACHTWAKER
ACH_NAME_045,NIGHTCRAWLER,BEESTENVANGER
ACH_NAME_046,CROCODILE JUMPER,KROKOSPRINGER
ACH_NAME_047,MONKEY KING,APENKONING
ACH_NAME_048,ZOO IN RUINS,DIERENTUIN IN PUIN
ACH_NAME_049,SPEED DEMON,SNELHEIDSDUIVEL
ACH_NAME_050,QUIZ MASTER,QUIZMASTER
ACH_NAME_051,HONORARY CITIZEN,EREBURGER
ADVENTURE_01,Harbour Trouble,Heibel in de haven
ADVENTURE_02,Zoo In Ruins,Dierentuin in puin
AL_CINEMATICINTRO_TEXT,"Hey {0}! I’ve got another big
order in for new robots. Can
you help me assemble them?","Joehoe {0}! Ik heb weer zo'n grote 
bestelling voor nieuwe robots. Kun 
jij alsjeblieft helpen met bouwen?"
AL_TUTORIAL_BUILDBOTS_INTRO,Assemble {0} robots in this level to win!,In dit level moet je {0} robots bouwen om te winnen!
AL_TUTORIAL_BUILDBOTS_ROBOTCOUNT,Well done! Build another {0} to win.,Goed gedaan! Je moet er nog {0} bouwen om te winnen.
AL_TUTORIAL_COLORS_INTRO,You can only place parts of the same colour in a tube.,Je kunt alleen onderdelen van dezelfde kleur in een buis plaatsen.
AL_TUTORIAL_COLORS_PLACEINTUBE,Place this part in the empty tube.,Plaats dit onderdeel in de lege buis.
AL_TUTORIAL_DRAGBACKTIP_MESSAGE,Drag this part back to the start.,Sleep het onderdeel terug naar het begin van de band!
AL_VICTORYWINDOW_SCORE_BONUS_TIME,Bonus time: {0},Tijd over: {0}
AL_VICTORYWINDOW_SCORE_HEARTS_LEFT,Hearts left: {0} x {1},Hartjes over: {0} x {1}
AL_VICTORYWINDOW_SCORE_MISTAKES_MADE,Mistakes made: {0} x {1},Foutjes: {0} x {1}
AL_VICTORYWINDOW_SCORE_PARTS_PLACED,Placed parts: {0} x {1},Robot onderdelen: {0} x {1}
AL_VICTORYWINDOW_SCORE_ROBOTS_COMPLETED,Robots completed: {0} x {1},Robots voltooid: {0} x {1}
AVATAR_NAME,Avatar,Avatar
BC_CINEMATICINTRO_TEXT,"Make sure you find as many
exotic animals as you can.
Be aware of al the crooks
wandering or even flying about…","Vind zo snel mogelijk alle 
exotische diertjes terug. Maar laat 
je niet pakken door al het gespuis 
dat er rondloopt... en vliegt!"
BC_VICTORYWINDOW_SCORE_HEARTS_LEFT,Hearts left: {0} x {1},Hartjes over: {0} x {1}
BC_VICTORYWINDOW_SCORE_ANIMALS_COLLECTED,Animals: {0} x {1},Diertjes: {0} x {1}
BTB_CINEMATICINTRO_TEXT,"Keep an eye on all cages.
The light will turn red when
a Beagle Boy gets near.
Click on the screen when he does!","Hou alle kooien goed in 
de gaten. Zodra een Zware 
Jongen in de buurt is springt 
het lampje op rood en moet 
je op het scherm klikken!"
BTB_VICTORYWINDOW_CAGES_CLOSED,Cages closed: {0} x {1},Kooien gesloten: {0} x {1}
BTB_VICTORYWINDOW_SCORE_HEARTS_LEFT,Hearts left: {0} x {1},Hartjes over: {0} x {1}
CM_CINEMATICINTRO_TEXT,"Welcome to my toy factory!
See all those crates?
Move them to the right spot.
Get to work!","Welkom in mijn speelgoedfabriek! 
Zie je die kisten daar? Die moet je 
allemaal op de juiste plek schuiven. 
Aan de slag!"
CM_VICTORYWINDOW_LEVELS_COMPLETED_COUNT,Levels complete: {0} x {1},Levels: {0} x {1}
CO_CINEMATICINTRO_TEXT,"Operate the crane and put
the right crates on the trucks.
Beneath every truck you see
what animals you need.","Jij moet de kraan besturen
en de juiste kisten op de wagens 
takelen! Onder elke vrachtwagen 
zie je welke dieren nodig zijn."
CO_VICTORYWINDOW_SCORE_TIME_LEFT,Time left: {0} x {1},Tijd over: {0} x {1}
CO_VICTORYWINDOW_SCORE_TRUCKS_COMPLETED,Trucks completed: {0} x {1},Trucks: {0} x {1}
CTB_CINEMATICINTRO_TEXT,"Quick, {0}... you got to find those
Beagle Boys! Maybe you can
cut them off in the old harbour!","Vlug, {0}... vind de Zware 
Jongens terug! Via de 
oude haven kun je ze 
misschien afsnijden!"
CTB_VICTORYWINDOW_SCORE_COINS_FOUND,Coins found: {0} x {1},Muntjes: {0} x {1}
CTB_VICTORYWINDOW_SCORE_COLLECTABLES_FOUND,Feathers found: {0} x {1},Veertjes: {0} x {1}
CTB_VICTORYWINDOW_SCORE_HEARTS_LEFT,Hearts left: {0} x {1},Hartjes over: {0} x {1}
CTB_VICTORYWINDOW_SCORE_TIME_LEFT,Time left: {0} x {1},Tijd over: {0} x {1}
CTP_CINEMATICINTRO_TEXT,"Shift the right tubes in order
to connect the water tap
with the red tube. Done?
Turn on the tap!","Draai de juiste buizen om 
de waterkraan met het rode 
eindpunt te verbinden. Daarna 
moet je de kraan openzetten!"
CTP_VICTORYWINDOW_SCORE_COLLECTIBLE_SCORE,Collectibles collected: {0} x {1},Eendjes: {0} x {1}
CTP_VICTORYWINDOW_SCORE_TIMELEFT_SCORE,Time left: {0} x {1},Tijd over: {0} x {1}
CTT_CINEMATICINTRO_TEXT,"The Beagle Boys are
on the loose...
Run, jump and dive!","De Zware Jongens 
gaan ervandoor... 
Dat wordt rennen, 
springen en duiken!"
CTT_VICTORYWINDOW_SCORE_FEATHERS_PICKEDUP,Feathers picked up: {0},Veertjes: {0} 
CTT_VICTORYWINDOW_SCORE_HEARTS_LEFT,Hearts left: {0} x {1},Hartjes over: {0} x {1}
CTT_VICTORYWINDOW_SCORE_TIME_LEFT,Time left: {0} x {1},Tijd over: {0} x {1}
ERROR_BACK_TO_LOGIN,The game will now send you back to the login.,Het spel stuurt je nu terug naar het inlogscherm.
ERROR_ERROR_CODE,Error code:,Foutcode:
ERROR_TITLE,Error,Fout
FS_TOTAL,Total,Totaal
FS_SAVE,Save,Opslaan
FS_POPUP_ITEMS_IN_BASKET,"Reminder: you still have items in your basket!
Are you sure you want to leave the store?","Let op: je hebt nog kleding in je mandje!
Weet je zeker dat je de winkel wil verlaten?"
FY_CINEMATICINTRO_TEXT,"How nice of you to help me!
We are going to plant, dig,
water, prune and pick fruit trees!","Wat fijn dat jullie me komen helpen! 
We gaan fruitbomen planten, omspitten, 
zaaien, water geven, snoeien en plukken!"
FY_VICTORYWINDOW_SCORE_APPLE_TREE,Apple trees planted: {0} x {1},Appelbomen: {0} x {1}
FY_VICTORYWINDOW_SCORE_CHERRY_TREE,Cherry trees planted: {0} x {1},Kersenbomen: {0} x {1}
FY_VICTORYWINDOW_SCORE_NECTARINE_TREE,Nectarine trees planted: {0} x {1},Nectarinebomen: {0} x {1}
FY_VICTORYWINDOW_SCORE_PEAR_TREE,Pear trees planted: {0} x {1},Perenbomen: {0} x {1}
FY_VICTORYWINDOW_SCORE_PLUM_TREE,Plum trees planted: {0} x {1},Pruimenbomen: {0} x {1}
HM_ANIMALS_0,"Ant,Bee,Calf,Cat,Chicken,Cow,Dog,Duck,Flounder,Fish,Fox,Goat,Goose,Hare,Horse,Jellyfish,Kitten,Lamb,Monkey,Mouse,Pig,Piglet,Rat,Rooster,Shark,Sheep,Slug,Spider,Toad,Worm","Aap,Big,Bij,Bot,Eend,Gans,Geit,Haai,Haan,Haas,Hond,Kalf,Kat,Kip,Koe,Kwal,Lam,Mier,Muis,Paard,Pad,Poes,Rat,Schaap,Slak,Spin,Varken,Vis,Vos,Worm"
HM_ANIMALS_1,"Viper,Amphibian,Bison,Centipede,Squirrel,Arthropods,Harpoon,Cockroach,Kangaroo,Spawn,Lama,Clam,Rhino,Killer whale,Panda,Rattlesnake,Salamander,Trunk,Tail,Capricorn,Poacher,Dachshund,Walrus,Whale,Raccoon,Flipper,Marsupial,Rodent,Reptile,Donkey,Wolf,Raven,Canary cage,Spider,Cod,Lamb","Adder,Amfibie,Bizon,Duizendpoot,Eekhoorn,Geleedpotigen,Harpoen,Kakkerlak,Kangoeroe,Kikkerdril,Lama,Mossel,Neushoorn,Orka,Panda,Ratelslang,Salamander,Slurf,Staart,Steenbok,Stroper,Teckel,Walrus,Walvis,Wasbeer,Zwemvlies,Buideldier,Knaagdier,Reptiel,Ezel,Wolf,Raaf,Kanariekooi,Spinnetje,Kabeljauw,Lammetje"
HM_ANIMALS_2,"Scavenger,Carnivore,Bass,Bear,Fertilization,Flounder,Marsupial,Kangaroo,Cocoon,Animal welfare,Breeder,Trout,Herring,Stallion,Codfish,Carp,Dung,Lobster,Herd,Mackerel,Mare,Oyster,Ewe,Eel,Hen,Herbivore,Ram,Heron,Dog,Flock,Sardine,Plaice,Tusk,Whisker,Woodpecker,Carnivore,Reproduction,Cub,Salmon,Sow,Animal shelter,Egg,Ungulate,Pack animal,Riding animal,Shellfish,Draft animal,Foal,Mollusc,Riding school","Aaseter,Alleseter,Baars,Beer,Bevruchting,Bot,Buidel,Kangoeroe,Cocon,Dierenbescherming,Draagtijd,Fokker,Forel,Haring,Hengst,Kabeljauw,Karper,Keutel,Kreeft,Kudde,Makreel,Merrie,Oester,Ooi,Paling,Hen,Planteneter,Ram,Reiger,Reu ,Roedel,Sardine ,Schol,Slagtand,Snorhaar,Specht,Vleeseter,Voortplanting,Welp ,Zalm,Zeug ,Asiel,Eitje,Hoefdier,Lastdier,Rijdier,Schelpdier,Trekdier,Veulen ,Weekdier,Manege"
HM_ANIMALS_3,"Carnivore,Mayfly,Rooster,Herbivore,Hyena,Colony,Environment,Altricial,Omnivore,Puma,Beak,Food chain,Food pyramid,Food supply,Hibernate,Winter coat,Benthic animal,Cadaver,Chick,Guinea pig,Cold-blooded,Warm-blooded,Zebra","Bodemdier,Carnivoor,Eendagsvlieg,Haan,Herbivoor,Hyena,Kadaver,Kolonie,Kuiken,Leefomgeving,Nestblijver,Omnivoor,Poema,Snavel,Voedselketen,Voedselpiramide,Voedselvoorraad,Winterslaap,Wintervacht,,Proefkonijn,Koudbloedig,Warmbloedig,Zebra"
HM_ANIMALS_CATEGORY,Animals,Dieren
HM_CINEMATICINTRO_TEXT,"What word am I looking for? Guess
the letters, but mind this: for every error
a Beagle Boy takes one step forward!
So pay attention, {0}!","Welk woord zoek ik? Je kunt 
letters raden, maar voor elke 
fout zet de Zware Jongen een 
stap! Goed opletten dus, {0}!"
HM_FOOD_0,"Berry,Plate,Butter,Bread,Belly,Egg,Ham,Cheese,Cherry,Chicken,Kiwi,Cookie,Chef,Spoon,Stomach,Milk,Knive,Oven,Pan,Fries,Pizza,Carrot,Pear,Pepper,Leek,Lemonade,Rice,Sauce,Lettuce,Soup,Pie,Onion,Fork,Meat,Fire,Wok,Sausage,Sweet,Salt","Bes,Bord,Boter,Brood,Buik,Ei,Ham,Kaas,Kers,Kip,Kiwi,Koek,Kok,Lepel,Maag,Melk,Mes,Oven,Pan,Patat,Pizza,Peen,Peer,Peper,Prei,Ranja,Rijst,Saus,Sla,Soep,Taart,Ui,Vork,Vlees,Vuur,Wok,Worst,Zoet,Zout"
HM_FOOD_1,"Order,Kale,Lemon,Citrus,Egg yolk,Grapefruit,Waiter,Kiwi,Coconut,Cabbage,Lime,Lumpia,Tangerine,Menu,Nectarine,Pasta,Pepper mill,Picknick,Placemat,Rice table,Red cabbage,Dairy,Sauerkraut,Pottery,Batter,Dish,Ice cube,Paper towels,Menu,Pancakes,Recepy,Patio,Water ice,Salt shaker,Sour","Bestelling,Boerenkool,Citroen,Citrusvrucht,Eidooier,Grapefruit,Kelner,Kiwi,Kokosnoot,Krop,Limoen,Loempia,Mandarijn,Menukaart,Nectarine,Pasta,Pepermolen,Picknick,Placemat,Rijsttafel,Rodekool,Zuivel,Zuurkool,Aardewerk,Beslag,Gerecht,IJsklontje,Keukenpapier,Menu,Poffertje,Recept,Terras,Waterijs,Zoutvat,Zuur"
HM_FOOD_2,"Mushroom,Citrus,Dressing,Takeaway,Sesame oil,Champagne,Breakfast table,Cheese slicer,Vinegar,Cafetaria,Consumption,Cracker,Dip,Burger bar,Frying pan,Yeast,Ice cream parlor,Garlic,Crust,Delicacy,Musterd,Noodles,Olive oil,Omelet,Pizzeria ,Pumpkin,Asparagus soup,Crudités,Salad,Sushi bar,Cutting board,Treat,Smoke,Chicory,Sieve,Sunflower oil,Tinfoil,Baking pan,Diet,Fastfood,Cooking oil,Stove,Coconut,Food,Meal,Pie,Kitchen appliance","Afhaalmaaltijd,Azijn,Cafetaria,Champagne,Champignon,Citrusvrucht,Sladressing,Sesamolie,Ontbijttafel,Consumptie,Cracker,Dipsaus,Friettent,Frituurpan,Gist,Ijssalon,Kaasschaaf,Knoflook,Korst,Lekkernij,Mosterd,Noedels,Olijfolie,Omelet,Pizzeria,Pompoen,Aspergesoep,Rauwkost,Salade,Snackbar,Snijplank,Traktatie,Walm,Witlof,Zeef,Zonnebloemolie,Aluminiumfolie,Bakblik,Dieet,Fastfood,Frituurvet,Gasfornuis,Kokos,Levensmiddel,Maaltijd,Pasteitje,Centrifuge"
HM_FOOD_3,"Broth,Asparagus,Eggplant,Baguette,Barbecue,Butler,Chef,Cornflakes,Zucchini,Foods,Fondue,Gourmet,Grill,Measuring cup,Pod,Sorbet,Spice,Nutrient,Wok,Aroma,Banquet,Egg yolk,Protein,Kitchenware,Carbohydrate,Mixture,Tabletop,Nutrient,Starch,Yogurt,Croissant,Menu,Pudding","Bouillon,Asperge,Aubergine,Baguette,Barbecue,Butler,Chef,Cornflakes,Courgette,Etenswaren,Fondue,Gourmet,Grill,Maatbeker,Peul,Sorbet,Specerij,Voedingsstof,Wok,Aroma ,Banket,Eigeel,Eiwit,Keukengerei,Koolhydraat,Mengsel,Tafelblad,Voedingsmiddel,Zetmeel,Yoghurt,Croissant,Menuutje,Puddinkje"
HM_FOOD_CATEGORY,Food,Eten
